time, phase1, phase2, phase3, oven_power, stove_power, dryer_power, washing_machine_power
1605355200, 0.323324265, 0.05500192, 0.132076006, 0.001605388, 0.00256584, 0.000528204, 0.001562356
1605355205, 0.326027748, 0.052114713, 0.134982428, 0.001663704, 0.002433744, 0.00215185, 0.000869698
1605355210, 0.325337576, 0.052692096, 0.138598634, 0.002616502, 0.001884094, 0.001209658, 0.000656504
1605355215, 0.328859358, 0.051468581, 0.1401126, 0.00196172, 0.002252844, 0.002214212, 0.000832106
1605355220, 0.324648665, 0.052333364, 0.138967713, 0.002046186, 0.003174627, 0.000776218, 0.000816881
1605355225, 0.320928721, 0.051968243, 0.13845993, 0.003683339, 0.002286141, 0.002276108, 0.000479863
1605355230, 0.325608473, 0.051668814, 0.138376119, 0.001776785, 0.001459582, 0.001040618, 0.001637317
1605355235, 0.327979891, 0.051323302, 0.135081395, 0.001572753, 0.00310688, 0.000873626, 0.00204458
1605355240, 0.327705018, 0.051824853, 0.137387631, 0.001959021, 0.003577389, 0.001000103, 0.001188645
1605355245, 0.32358964, 0.051233488, 0.135808024, 0.001972636, 0.002793287, 0.001308905, 0.001028717
1605355250, 0.327108176, 0.051197949, 0.137944519, 0.002519411, 0.00241999, 0.00085104, 0.000636568
1605355255, 0.326016145, 0.053148417, 0.138091423, 0.001827976, 0.001964241, 0.001282699, 0.000520641
1605355260, 0.327255555, 0.05198613, 0.139406102, 0.001679815, 0.001187866, 0.001123706, 0.000452705
1605355265, 0.323553976, 0.051552871, 0.13726319, 0.002471164, 0.00233832, 0.00122817, 0.00132034
1605355270, 0.325426633, 0.052565954, 0.139765886, 0.002008901, 0.002131009, 0.001053357, 0.000794516
1605355275, 0.325167906, 0.052141086, 0.137057965, 0.001717374, 0.00214321, 0.001270539, 0.000985157
1605355280, 0.323218009, 0.051997468, 0.136228729, 0.002070738, 0.002623694, 0.001246173, 0.000848916
1605355285, 0.326630333, 0.052584638, 0.137636896, 0.002448421, 0.001994359, 0.002213701, 0.001002412
1605355290, 0.331740174, 0.051929931, 0.136141117, 0.001560176, 0.002457654, 0.001164878, 0.001320292
1605355295, 0.327872438, 0.051426846, 0.135960247, 0.001736262, 0.002429664, 0.001280904, 0.001266339
1605355300, 0.325466766, 0.051195606, 0.133556396, 0.001433211, 0.002063002, 0.001837241, 0.001065672
1605355305, 0.32488296, 0.052192616, 0.134752316, 0.000917704, 0.002288437, 0.000881025, 0.000781755
1605355310, 0.325015895, 0.051810758, 0.131981017, 0.001055691, 0.002806416, 0.000722327, 0.000991869
1605355315, 0.327747616, 0.051722482, 0.131371538, 0.001109191, 0.001124868, 0.001141594, 0.001033754
1605355320, 0.332924319, 0.051451695, 0.132263913, 0.003308438, 0.002192549, 0.001198218, 0.00156568
1605355325, 0.32405863, 0.052292616, 0.132214853, 0.001977329, 0.002910771, 0.000968702, 0.000787171
1605355330, 0.322842304, 0.052924865, 0.131413134, 0.002170863, 0.003127533, 0.000986523, 0.001413046
1605355335, 0.325677815, 0.05161535, 0.129628062, 0.002527183, 0.001829057, 0.001434356, 0.000839922
1605355340, 0.321316456, 0.052723972, 0.130674124, 0.00134283, 0.003443394, 0.0011719, 0.00149387
1605355345, 0.321733901, 0.053327639, 0.127319687, 0.001779359, 0.001783663, 0.001802326, 0.000860941
1605355350, 0.321078803, 0.051649055, 0.127024245, 0.002293771, 0.002095808, 0.00102778, 0.000812366
1605355355, 0.324602872, 0.052127665, 0.127514632, 0.001756693, 0.002286342, 0.001292766, 0.00118779
1605355360, 0.322972713, 0.051675937, 0.124496823, 0.002133492, 0.002094797, 0.001572577, 0.000693761
1605355365, 0.326111628, 0.050764349, 0.124597589, 0.001734577, 0.002334562, 0.00091564, 0.00085353
1605355370, 0.328371137, 0.052381749, 0.126017003, 0.001957266, 0.001805367, 0.001071519, 0.000583471
1605355375, 0.326216356, 0.052465312, 0.124031575, 0.001920238, 0.003039292, 0.001833776, 0.001007317
1605355380, 0.330811965, 0.051654652, 0.126378367, 0.002018809, 0.001517821, 0.001243382, 0.001478146
1605355385, 0.32410308, 0.050649432, 0.12586564, 0.00292387, 0.001534016, 0.001248298, 0.000885488
1605355390, 0.329801349, 0.051726389, 0.126591897, 0.002204985, 0.002705702, 0.001218225, 0.001398676
1605355395, 0.3225155, 0.05131267, 0.123357979, 0.001964112, 0.002328414, 0.001814043, 0.001011675
1605355400, 0.329261912, 0.051931639, 0.124815338, 0.002173477, 0.001738601, 0.001728704, 0.000864611
1605355405, 0.32792711, 0.052425487, 0.124524316, 0.002034946, 0.002809689, 0.001249648, 0.00113936
1605355410, 0.32759252, 0.051480316, 0.122698152, 0.00092802, 0.001680696, 0.001273729, 0.001276288
1605355415, 0.32762089, 0.050760471, 0.123732175, 0.003079449, 0.002348397, 0.002307642, 0.001024601
1605355420, 0.329948023, 0.051661723, 0.124644883, 0.002267611, 0.001383165, 0.001330484, 0.000812855
1605355425, 0.325789036, 0.05250166, 0.123549697, 0.000907822, 0.002370745, 0.000805285, 0.001224232
1605355430, 0.3275613, 0.052310634, 0.12245059, 0.001466734, 0.002499152, 0.001322494, 0.001414614
1605355435, 0.323114, 0.051211352, 0.125693288, 0.002796401, 0.001820113, 0.001955771, 0.00117337
1605355440, 0.325418293, 0.051813772, 0.123122703, 0.003029303, 0.001310028, 0.002074356, 0.000836622
1605355445, 0.326029461, 0.052142878, 0.123466592, 0.001692192, 0.002339597, 0.001371502, 0.001104971
1605355450, 0.323602775, 0.052156782, 0.124170197, 0.001912844, 0.002574149, 0.001391767, 0.001278987
1605355455, 0.32565697, 0.051924778, 0.124122429, 0.002762181, 0.001453033, 0.000888925, 0.00109962
1605355460, 0.323102847, 0.051177694, 0.122200339, 0.002519717, 0.002394684, 0.000909848, 0.001366531
1605355465, 0.327477717, 0.052619677, 0.122672441, 0.00159641, 0.00222914, 0.000919037, 0.001393734
1605355470, 0.330214463, 0.051956986, 0.121944869, 0.002464751, 0.001548747, 0.001554588, 0.00141749
1605355475, 0.324245726, 0.05235518, 0.122600844, 0.002387395, 0.002228088, 0.000604218, 0.002040057
1605355480, 0.333391186, 0.052667298, 0.123806825, 0.002001395, 0.001548913, 0.001007808, 0.001734244
1605355485, 0.324304726, 0.051582417, 0.122277747, 0.001105584, 0.002793187, 0.001547332, 0.001104631
1605355490, 0.327498438, 0.051130044, 0.122674668, 0.002493578, 0.001016028, 0.001319067, 0.000771086
1605355495, 0.327215564, 0.050921968, 0.123296569, 0.001463707, 0.002627365, 0.001075073, 0.000290923
1605355500, 0.330574997, 0.051567102, 0.119448987, 0.002003328, 0.002008281, 0.001043464, 0.001276789
1605355505, 0.325893247, 0.052000581, 0.120574157, 0.001309549, 0.002918811, 0.001182617, 0.00115363
1605355510, 0.325548073, 0.050929412, 0.120161496, 0.00239809, 0.002195098, 0.001385822, 0.001204674
1605355515, 0.326703257, 0.051201958, 0.119864724, 0.001497589, 0.001481979, 0.001002038, 0.000948946
1605355520, 0.330274721, 0.052500892, 0.120989674, 0.002456569, 0.00166027, 0.002033283, 0.001215857
1605355525, 0.323611822, 0.051362999, 0.120444557, 0.001509643, 0.001260509, 0.000855289, 0.001057314
1605355530, 0.330160844, 0.050946834, 0.121596591, 0.001252017, 0.001686238, 0.000544314, 0.001030354
1605355535, 0.325795403, 0.05141242, 0.1212105, 0.001270433, 0.002229332, 0.001369116, 0.000555266
1605355540, 0.323907879, 0.052333831, 0.12121191, 0.002200397, 0.002778951, 0.001179695, 0.000855581
